Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts,Police Precinct
58718266,09/06/2023 12:48:18 AM,09/06/2023 02:14:29 AM,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11378,60-65 55 STREET,55 STREET,NURGE AVENUE,ARNOLD AVENUE,NURGE AVENUE,ARNOLD AVENUE,ADDRESS,MASPETH,55 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/06/2023 02:14:36 AM,05 QUEENS,4026410013,QUEENS,1009096,199714,MOBILE,Unspecified,QUEENS,,,,,,,,40.71481064814987,-73.91037416673439,"(40.71481064814987, -73.91037416673439)",14788,54,3,34,62,62
58720605,09/05/2023 09:45:48 AM,02/08/2024 08:42:34 PM,HPD,Department of Housing Preservation and Development,FLOORING/STAIRS,FLOOR,RESIDENTIAL BUILDING,10456,1140 FINDLAY AVENUE,FINDLAY AVENUE,,,,,ADDRESS,BRONX,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,02/08/2024 12:00:00 AM,04 BRONX,2024340065,BRONX,1008236,242077,PHONE,Unspecified,BRONX,,,,,,,,40.83108829853182,-73.91332519826165,"(40.83108829853182, -73.91332519826165)",10934,50,5,42,27,27
58718943,09/05/2023 02:15:20 PM,09/05/2023 03:01:48 PM,NYPD,New York City Police Department,Noise - Vehicle,Engine Idling,Street/Sidewalk,11693,9502 SHORE FRONT PARKWAY,SHORE FRONT PARKWAY,BEACH   95 STREET,BEACH   96 STREET,BEACH   95 STREET,BEACH   96 STREET,ADDRESS,FAR ROCKAWAY,SHORE FRONT PARKWAY,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,09/05/2023 03:01:50 PM,14 QUEENS,4161680082,QUEENS,1035309,151969,ONLINE,Unspecified,QUEENS,,,,,,,,40.58364884732063,-73.81617884141741,"(40.58364884732063, -73.81617884141741)",20531,51,3,41,58,58
58712039,09/04/2023 11:53:04 AM,11/22/2023 02:11:07 PM,DPR,Department of Parks and Recreation,Maintenance or Facility,Grass/Weeds,Park,10456,1216 WASHINGTON AVENUE,WASHINGTON AVENUE,EAST  167 STREET,EAST  168 STREET,EAST  167 STREET,EAST  168 STREET,ADDRESS,BRONX,WASHINGTON AVENUE,,Closed,,NYC Parks has completed the requested work order and corrected the problem.,11/22/2023 02:11:11 PM,03 BRONX,2023720020,BRONX,1009998,242101,MOBILE,Rev Lena Irons Unity Park,BRONX,,,,,,,,40.83114921058839,-73.9069580216077,"(40.83114921058839, -73.9069580216077)",10934,34,5,42,25,25
58719562,09/05/2023 03:31:36 PM,,DPR,Department of Parks and Recreation,Damaged Tree,Branch or Limb Has Fallen Down,Street,11215,1521 10 AVENUE,10 AVENUE,PROSPECT PARK SOUTHWEST,16 STREET,PROSPECT PARK SOUTHWEST,16 STREET,ADDRESS,BROOKLYN,10 AVENUE,,In Progress,,"NYC Parks created a work order for the tree condition and expects to address the issue within 120 days from the date of the tree assessment, barring any weather-related requests.   NYC Parks work priority categories range from Category A through D, with A being the most critical and time-sensitive. We will complete all work in Category A first and address work in lower priority categories in accordance with available resources. For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.",09/15/2023 09:22:41 PM,07 BROOKLYN,3011070001,BROOKLYN,990451,179617,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.65968170908628,-73.97764990735031,"(40.65968170908628, -73.97764990735031)",17617,9,2,27,45,45
58712706,09/04/2023 02:52:18 AM,09/04/2023 03:50:12 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11368,107-22 CORONA AVENUE,CORONA AVENUE,51 AVENUE,52 AVENUE,51 AVENUE,52 AVENUE,ADDRESS,CORONA,CORONA AVENUE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/04/2023 03:50:16 AM,04 QUEENS,4019420051,QUEENS,1024230,210207,ONLINE,Unspecified,QUEENS,,,,,,,,40.743555885283676,-73.85571972077439,"(40.743555885283676, -73.85571972077439)",14510,66,3,21,68,68
58720124,09/05/2023 08:08:00 AM,09/05/2023 08:40:00 AM,DEP,Department of Environmental Protection,Water System,Hydrant Defective (WC2),,11213,285 KINGSTON AVENUE,KINGSTON AVENUE,LINCOLN PL,EASTERN PKWY,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,09/05/2023 08:40:00 AM,08 BROOKLYN,3012650007,BROOKLYN,1000303,183361,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.6699457759576,-73.94213170898726,"(40.6699457759576, -73.94213170898726)",17615,16,2,48,49,49
58718397,09/05/2023 03:35:14 PM,11/15/2023 10:33:49 AM,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Driver Complaint - Non Passenger,Street,10010,425 1 AVENUE,1 AVENUE,EAST   24 STREET,EAST   25 STREET,EAST   24 STREET,EAST   25 STREET,ADDRESS,NEW YORK,1 AVENUE,,Closed,,The Taxi and Limousine Commission (TLC) reviewed your complaint. The driver or owner pled guilty to a violation and paid a fine. TLC has sent you a written confirmation of this outcome.,11/15/2023 10:33:56 AM,06 MANHATTAN,1009300034,MANHATTAN,990425,208161,ONLINE,Unspecified,MANHATTAN,,,"425 1 AVENUE, MANHATTAN (NEW YORK), NY, 10010",,,,,40.73802834021219,-73.97771744823089,"(40.73802834021219, -73.97771744823089)",12073,71,4,50,7,7
58713989,09/04/2023 09:30:26 AM,09/04/2023 09:30:26 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,Vacant Lot,11414,156-34 EMERALD STREET,EMERALD STREET,156 AVENUE,157 AVENUE,156 AVENUE,157 AVENUE,ADDRESS,HOWARD BEACH,EMERALD STREET,,Closed,,The Department of Health and Mental Hygiene inspected the property you reported and did not find any violations at the time of the inspection. The property passed inspection.,09/04/2023 09:30:26 AM,10 QUEENS,4139380121,QUEENS,1023938,180208,ONLINE,Unspecified,QUEENS,,,,,,,,40.66121709774184,-73.85695028568402,"(40.66121709774184, -73.85695028568402)",15314,62,3,41,64,64
58716659,09/04/2023 11:13:01 AM,09/04/2023 12:51:50 PM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11207,133 ELDERT STREET,ELDERT STREET,EVERGREEN AVENUE,CENTRAL AVENUE,EVERGREEN AVENUE,CENTRAL AVENUE,ADDRESS,BROOKLYN,ELDERT STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/04/2023 12:51:54 PM,04 BROOKLYN,3034100058,BROOKLYN,1008866,190164,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.68859879207333,-73.91123874162723,"(40.68859879207333, -73.91123874162723)",17214,42,2,37,53,53
